Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","13 of 1070"
"Citizenship","Foreign nationals"

,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Citizenship]",
"1998","University of Chicago","Total for selected values","598",
"1998","University of Chicago","Foreign nationals","598",
"1998","University of Pennsylvania","Total for selected values","684",
"1998","University of Pennsylvania","Foreign nationals","684",
"1998","Yale University","Total for selected values","518",
"1998","Yale University","Foreign nationals","518",
"1997","Total for selected values","Total for selected values","9,235",
"1997","Brown University","Total for selected values","293",
"1997","Brown University","Foreign nationals","293",
"1997","Columbia Univ in the City of New York","Total for selected values","860",
"1997","Columbia Univ in the City of New York","Foreign nationals","860",
"1997","Cornell University","Total for selected values","1,330",
"1997","Cornell University","Foreign nationals","1,330",
"1997","Dartmouth College","Total for selected values","88",
"1997","Dartmouth College","Foreign nationals","88",
"1997","Duke University","Total for selected values","251",
"1997","Duke University","Foreign nationals","251",
"1997","Harvard University","Total for selected values","1,228",
"1997","Harvard University","Foreign nationals","1,228",
"1997","Massachusetts Institute of Technology","Total for selected values","1,440",
"1997","Massachusetts Institute of Technology","Foreign nationals","1,440",
"1997","Princeton University","Total for selected values","526",
"1997","Princeton University","Foreign nationals","526",
"1997","Stanford University","Total for selected values","1,484",
"1997","Stanford University","Foreign nationals","1,484",
"1997","University of Chicago","Total for selected values","588",
"1997","University of Chicago","Foreign nationals","588",
"1997","University of Pennsylvania","Total for selected values","634",
"1997","University of Pennsylvania","Foreign nationals","634",
"1997","Yale University","Total for selected values","513",
"1997","Yale University","Foreign nationals","513",
"1996","Total for selected values","Total for selected values","9,409",
"1996","Brown University","Total for selected values","294",
"1996","Brown University","Foreign nationals","294",
"1996","Columbia Univ in the City of New York","Total for selected values","869",
"1996","Columbia Univ in the City of New York","Foreign nationals","869",
"1996","Cornell University","Total for selected values","1,421",
"1996","Cornell University","Foreign nationals","1,421",
"1996","Dartmouth College","Total for selected values","90",
"1996","Dartmouth College","Foreign nationals","90",
