Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Broad Fields]","[Citizenship]",
"2008","Columbia Univ in the City of New York","Total for selected values","Total for selected values","4,325",
"2008","Columbia Univ in the City of New York","Biological sciences","Total for selected values","746",
"2008","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","195",
"2008","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","551",
"2008","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","81",
"2008","Columbia Univ in the City of New York","Clinical medicine","Foreign nationals","13",
"2008","Columbia Univ in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","68",
"2008","Columbia Univ in the City of New York","Computer sciences","Total for selected values","437",
"2008","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","281",
"2008","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","156",
"2008","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","179",
"2008","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","59",
"2008","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","120",
"2008","Columbia Univ in the City of New York","Engineering","Total for selected values","1,087",
"2008","Columbia Univ in the City of New York","Engineering","Foreign nationals","677",
"2008","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","410",
"2008","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","383",
"2008","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","270",
"2008","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","113",
"2008","Columbia Univ in the City of New York","Other health","Total for selected values","554",
"2008","Columbia Univ in the City of New York","Other health","Foreign nationals","10",
"2008","Columbia Univ in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","544",
"2008","Columbia Univ in the City of New York","Physical sciences","Total for selected values","246",
"2008","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","119",
